Species,Synonyms,Common name,Horizon scan team,Functional group,Native range,Environment,Likely pathway of arrival,Pathway justification,Arrival score,Arrival certainty,Arrival justification,ReferencArrival referenceses,Establishment score,Establishment certainty,Establishment justification,Establishment references,Impacts score,Impacts certainty,Impacts justification,Impacts references,Overall score,Overall certainty,Overall comments,Overall references,Assessor ,Date assessed,Reviewer,Date reviewed
Draba verna,"Erophila verna, Draba praecox, Erophila spathulata, Erophila verna ssp. praecox, Erophila verna ssp. spathulata, Draba verna var. aestivalis, Draba verna var. boerhaavii, Draba verna var. major, Draba verna","spring draba, shadflower, nailwort, common whitlowgrass,[1] vernal whitlow grass, early witlow grass or whitlow-grass ( ""BSBI List 2007"". Botanical Society of Britain and Ireland. Archived from the original (xls) on 2015-01-25. Retrieved 2014-10-17. )",Plant,Primary producer,Eurasia (GoBotany).  eFlora mistakenly considers it native to Missouri.  USDA Plants database considers it nonnative to all of North America,T,"Escape from confinement, transport contaminatnt, unaided",I am really guessing on this.  It is not a species noted in the ornamental trade.  So the species could move on its own of via transport contamination. ,2,Very Low,"Not a lot of information to base this on, but it is not noted as an ornamental species or an ag pests, so propagule arrival seems low",,2,Very Low,"5.6 to 7.5 soil pH (Dave's garden). Not being sold at based on Dave's garden. Notes from viewers of Dave's garden note that it ""it grows on dry mossy rocky slopes"" and ""favors damp areas of fields and roadsides so long as there isn't a thick mat of grass"".  Map in GBIF show thereh is NOT a lot of it in more tropical areas.  ",GBIF Map: https://www.gbif.org/species/7473187,2,Low,"Noted to be ""weedy"" or ""invasive"" by Hagan 1991.  Noted as present in surveys, but no real impacts noted.  It seems as if it is a species that once naturalized might compete with other plant species but would not become so abundant to cause extirpation.  Also not noted as a serious ag weed. "," 	Haragan, P.D.. 1991. Weeds of Kentucky and adjacent states: a field guide. The University Press of Kentucky. Lexington, Kentucky.",8,,"Found very little regarding biology and/or ecology of this species. Taxonomic certainty can be challenging due to hybridization among similar species.  As stated on the Flora of North America website ""Draba verna represents a highly variable and taxonomically difficult complex within which species, subspecies, varieties, and forms have been named (O. E. Schulz 1927); only those synonyms pertaining to North America are listed above. Most of the taxonomic difficulties are the results of disploidy, autogamy, and hybridization. The morphological extremes are connected by intermediate forms in every conceivable character. Furthermore, there appears to be no correlation between morphology, cytology, geography, and ecology to support the division of this complex into meaningful taxa. A complex cytological picture was presented by Ø. Winge (1940), including the highest count of 2n = 94, which has not been confirmed by subsequent botanists.""",URL: http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=242416459,Iannone,4/16/20,Gettys,
Bromus sterilis,"Anisantha sterilis (L.) Nevski, Genea sterilis (L.) Dumort.","barren bromegrass, poverty brome, sterile brome",Plant,Primary producer,Eurasia and N. Africa,T,transport-stowaway,"Widespread on the west coast, so it could be transported to FL with human movement. No evidence for intentional uses in FL.",3,Medium,"Does not seem to be available from nurseries or seed distributors in the U.S. Recorded in AL and MS, but the abundance is likely limited based on GBIF and EDDMapS. Very common on the west coast and western Europe. Natural dispersal seems limited, but it can be moved with machinery and animal fur. It can contaminate cereal seeds.",https://plants.sc.egov.usda.gov/core/profile?symbol=BRST2; https://www.gbif.org/species/2703647; https://www.invasive.org/browse/subinfo.cfm?sub=5213; https://www.gardenorganic.org.uk/weeds/barren-brome,1,Low,"Annual or biennial that tends to grow in disturbed areas and forests and can grow in a range of soil types. Susceptible to fungal and viral diseases that occur in the U.S. Unsure what the plant hardiness zones are, but it is said to grow in winter in the UK. Seedlings need a cold perios in order to flower (germinate in fall and stay seedlings through winter).",https://www.cabi.org/isc/datasheet/10035; https://www.gardenorganic.org.uk/weeds/barren-brome,2,High,"Considered non-native invasive in TN, Australia, New Zealand, and Egypt. Reported to have negative impacts on crops, livestock, and native plants. Reported as a weed in CA, Italy, Germany, Switzerland, TN, and Holland. Reduces winter wheat yields and the densities of other weeds in winter wheat fields. Is able to take up unused resources and grows particularly well under the allelopathic tree, Robinia pseudoacacia.","https://www.cabi.org/isc/datasheet/10035; http://www.hear.org/gcw/species/bromus_sterilis/; Cousens, R., et al. ""Variability in the relationship between crop yield and weed density for winter wheat and Bromus sterilis."" Journal of Applied Ecology (1988): 1033-1044.; Firbank, L. G., et al. ""Scale, Experimental Design and the Detection of Ineterspecific Competition within Plant Communities."" Plant species biology 8.2‐3 (1993): 159-166.; Fenesi, Annamária, Tamás Rédei, and Zoltán Botta-Dukát. ""Hard traits of three Bromus species in their source area explain their current invasive success."" Acta oecologica 37.5 (2011): 441-448.",6,Medium,"Likely wouldn't be able to establish in FL. Could get here because of it's occurrence on the west coast, but doesn't have many impacts reported for how widespread it is.",,Kendig,4/17/20,Gettys,
Miconia calvescens,,velvet tree,Plant,Primary producer,"Mexico, Central America, Tropical S America",T,Escape from confinement; transport stowaway; unaided,,2,Low,"Could not find any for sale, nor for trade in sites like Dave's Garden. Natural dispersal (very long-distance) from known populations unlikely.",,5,High,"Based on known life history, this species is fecund, and bird-dispersed.",Cabi,5,High,"Cabi; IUCN one of the ""100 of the World's Worst Invasive Alien Species""",,50,Medium,"While the arrival likelihood of this species is low, every other criterion makes this species a very likely serious problem if it does manage to arrive/escape.",,Kunzer,,Gettys,
Phalaris arundinacea,Rosmarinus laxiflorus Noë ex Lange,reed canary grass,Plant,Primary producer,"It is native to North America, Europe, Asia and North Africa.",T,Escape from Confinement ,"CNCPP (1998) states that P. arundinacea is the most popular species for irrigation with pollution control sewage effluent from municipal and industrial sources as practice.CNCPP (1998) states that farmers have planted P. arundinacea because it produces nutritious, palatable, succulent herbage for pasture, silage, and hay. (http://www.iucngisd.org/gisd)",3,Low,"There is evidence that this species is experiencing a range expansion. Evidence that it is a weed in areas with temperate and tropcial climate conditions. Likelihood of entry/control
Highly likely to be transported internationally deliberately
Difficult/costly to control. I listed the uncertainty as low because It is not clear if this species is currently being promoted as forage",CABI https://www.cabi.org/isc/datasheet/55423,4,High,"Riparian habitats are at the greatest risk of being invaded and dominated by P. arundinacea, but any moist, fertile habitat provides good conditions for this species. It is considered a serious threat in wet meadows, wetlands, marshes, fens, old fields, floodplains, wet prairies, roadsides, ditchbanks. Streambanks, lakeshores, and shore swales also support the species. Invasion is promoted by disturbance, such as ditching of wetlands, stream channelization, deforestation of swamp forests, sedimentation, overgrazing, and intentional planting. Natural disturbances, such as scouring floods and low water conditions also promote invasion. Large quantities of highly mobile seed are produced in the first year of life, and a soil seed bank and permanent rhizome bed quickly build up. Suitable for hardiness zones 3a-9b. Considering the amount of waterways and wetlands in Florida and the potential climate match through central Florida (9A), I feel this species would establish easily.",http://www.iucngisd.org/gisd/speciesname/Phalaris+arundinacea; CABI https://www.cabi.org/isc/datasheet/55423,5,High,"The large root system of the species prevents soil erosion and improves soil fertility (USDA-NRCS, 2015). However, on river banks in New Zealand it can also trap silt and debris, making the habitat increasingly suited to L. polyphyllus and less suited to native species (Timmins & Mackenzie, 1995). In this way it may act as an autogenic ecosystem engineer (Wright & Jones, 2004)",http://www.iucngisd.org/gisd/speciesname/Phalaris+arundinacea,60,Low,"I have listed the certainty as Low because this species appears to be native to North America. If this species moves in to Florida, will this be a range expansion or a legit invasion. Note, this is listed as a terrestrial species, but it should be emphasized that it is a wetland invader. P. arundinacea is now a circumarboreal species (Larson, 1993). However, there is some debate as to whether it is native to North America (Harrison et al., 1996b). It is likely that populations of P. arundinacea in the USA consist of a mixture of agronomic cultivars (introduced from Europe) and native varieties (Merigliano and Lesica, 1998). Distinguishing native strains in the USA is therefore very difficult (White et al., 1993). Baldini (1993) has looked at ploidy levels for this purpose.",http://www.iucngisd.org/gisd/speciesname/Phalaris+arundinacea; CABI https://www.cabi.org/isc/datasheet/55423,Lieurance,,Gettys,
Alnus glutinosa,,European alder/ Black alder,Plant,Primary producer,Europe to West Siberia and Iran,T,1. Escape from confinement  2. Release in nature  3. Unaided,"1. Available commercially as an ornamental plant, and historically as timber  2. Also used for erosion control and soil restoration  3. Dispersal also occurs by water            1. Betrock Information Systems, Inc.; https://www.plantsearch.com/new/search_plants.cfm?advq=Alnus%20glutinosa&advV=0  1. Dave's Garden; https://davesgarden.com/sitewidesearch.php?q=Alnus+glutinosa  1-2. eFloras; http://efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500032  2-3. Global Invasive Species Database; http://www.iucngisd.org/gisd/speciesname/Alnus+glutinosa",3,Low,"1. Alnus glutinosa is cultivated as ornamental, for erosion control, and for timber with a variety of cultivars with different leaf structures and compact-branching forms.  2. European alder is known to be promoted even in countries where it is invasive.  3. This species is commercially available in multiple places.  4. The most common natural dispersal is by water, as the species usually grows along waterways.  5. But dispersal by wind is also possible.  6. Birds, deer, rabbits, and hares all eat the seeds, but generally the embryo is destroyed in this process.  7. In the U.S., this species is currently limited to the northeast, only coming as far south as Mississippi, as it is not well-adapted to climate Zones south of 7. (Missouri) (USDA)","1. eFloras; http://efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500032  2. Invasive Species Compendium; https://www.cabi.org/isc/datasheet/4574  3. Betrock Information Systems, Inc.; https://www.plantsearch.com/new/search_plants.cfm?advq=Alnus%20glutinosa&advV=0  3. Dave's Garden; https://davesgarden.com/sitewidesearch.php?q=Alnus+glutinosa  4-6. Klein, 2011, Alaska National Heritage Program; https://accs.uaa.alaska.edu/wp-content/uploads/Alnus_glutinosa_BIO_ALGL2.pdf  6. Global Invasive Species Database; http://www.iucngisd.org/gisd/speciesname/Alnus+glutinosa  7. Missouri Botanical Garden; http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=277813&isprofile=1&basic=Alnus%20glutinosa  7. USDA PLANTS Database; https://plants.sc.egov.usda.gov/core/profile?symbol=ALGL2",3,Medium,"1. Alnus glutinosa is tolerant to USDA Zones 3-7 and has a mean maximum temperature of warmest month of only 77F (25C).  2. The preferred habitat of European alder is stream banks, moist flood plains, damp depressions, and borders of wetlands, but it can also grow in forested wetlands and urban areas.  3. These trees can established quickly (minimum of 3 years) and can grow at a rate of 1m/year when young.  4. Mature seeds produce prolific seed every 3-4 years with an average of 240,000 seeds per tree.  5. This species is capable of colonizing bare ground in a range of soil types due to its ability to fix nitrogen.  6. Cut tree stumps can also resprout and fallen green branches can root into the soil.  7. Germination can occur immediately upon maturity of seeds, but stratification increases germination success.  8. In the U.S., Alnus glutinosa is listed as a noxious weed in Wisconsin and Minnesota, and as an invasive species in Indiana, New Hampshire, Pennsylvania, Tennessee.  9. This species is a Category I invasive species in Ontario (Canada), a naturalized, environmental weed in New Zealand and Australia, and a weed pest in Chile and the UK. ","1. Missouri Botanical Garden; http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=277813&isprofile=1&basic=Alnus%20glutinosa  1,9. Invasive Species Compendium; https://www.cabi.org/isc/datasheet/4574  2. eFloras; http://efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500032  2-7. Global Invasive Species Database; http://www.iucngisd.org/gisd/speciesname/Alnus+glutinosa  3. PFAF Plant Database; https://pfaf.org/user/Plant.aspx?LatinName=Alnus+glutinosa  5. Klein, 2011, Alaska National Heritage Program; https://accs.uaa.alaska.edu/wp-content/uploads/Alnus_glutinosa_BIO_ALGL2.pdf  8. Center for Invasive Species and Ecosystem Health; https://www.invasive.org/browse/subinfo.cfm?sub=3252  8. USDA PLANTS Database; https://plants.sc.egov.usda.gov/core/profile?symbol=ALGL2  9. Global Compendium of Weeds; http://www.hear.org/gcw/species/alnus_glutinosa/",4,Medium,"1. Alnus glutinosa quickly forms dense monospecific stands (<10 years) that exclude other species and creates high levels of shade below, nutrient buildup in soil, increase leaf litter, and altered water flow in riparian areas.  2. European alder also readily hybridizes with other alder trees.  3. This species is prone to a number of diseases, but root rot from Phytophthora alni species complex is a particularly aggressive pest that spreads between all alders.  4. However, in some cases, introduction of European alder has positive impacts on local biodiversity, such as by providing a reliable food source in winter.  5. Chemical and mechanical treatment combinations can be effective methods of control, but they require multiple applications as the species can resprout.","1. Klein, 2011, Alaska National Heritage Program; https://accs.uaa.alaska.edu/wp-content/uploads/Alnus_glutinosa_BIO_ALGL2.pdf  1-2.,5 Global Invasive Species Database; http://www.iucngisd.org/gisd/speciesname/Alnus+glutinosa  1-2,4-6. Invasive Species Compendium; https://www.cabi.org/isc/datasheet/4574",36,Medium,"Alnus glutinosa is a known invasive species in the northern and central U.S. as well as other parts of the world. It is not well adapted to warm climates like Florida though, so it is unlikely to be promoted here as an ornamental or biomass producing species. However, it may still arrive in here as it is readily available online and the species is capable of long distance dispersal, primarily by water. As with arrival, the warm climate of Florida makes establishment less likely. But in general European alder is very good at rapidly establishing through prolific seed production and the ability to fix nitrogen in the soil. Once established, this species alters ecosystem structure by forming dense monocultures and changing soil chemistry, which could result in changes of local biodiversity. Alders are also known to hybridize readily. ",1. Global Invasive Species Database; http://www.iucngisd.org/gisd/speciesname/Alnus+glutinosa  2. Invasive Species Compendium; https://www.cabi.org/isc/datasheet/4574  3. Missouri Botanical Garden; http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=277813&isprofile=1&basic=Alnus%20glutinosa,Petri (for Flory),4/23/20,Gettys,
Calystegia sepium spp. sepium,USDA PLANTS breaks up this species into 1 non-native supspecies- spp. sepium- and 6 native subspecies ,Hedge false bindweed,Plant,Primary producer,"Macaronesia, Europe to Northwestern China, Mediterranean to Afghanistan",T,1. Escape from confinement (limited),1. Sometimes cultivated as an ornamental                                               1. Dave's Garden; https://davesgarden.com/guides/pf/go/2890/  1. PFAF Plant Database; https://pfaf.org/user/Plant.aspx?LatinName=Calystegia+sepium,2,Medium,"1. Calystegia sepium spp. sepium is present in most states in the eastern U.S..  2. Hedge false bindweed is sometimes cultivated as an ornamental plant, but multiple gardening sites mention its weediness and gardeners often comment that the plant appears in their garden uninvited.  3. This species most commonly spreads by natural vegetative growth or movement of root fragments.  4. Seeds of this species are not known to have a dispersal agent besides gravity.","1. USDA PLANTS Database; https://plants.sc.egov.usda.gov/core/profile?symbol=CASE13  2. Dave's Garden; https://davesgarden.com/guides/pf/go/2890/  2. PFAF Plant Database; https://pfaf.org/user/Plant.aspx?LatinName=Calystegia+sepium  3-4. Plant Diversity Website, University of Michigan; http://climbers.lsa.umich.edu/wp-content/uploads/2013/05/CalysepiCONVFINAL.pdf  3-4. Burnham 2013, University of Michigan; http://climbers.lsa.umich.edu/?p=209",4,Medium,"1. Calystegia sepium spp. sepium is tolerant to USDA Zones 3-9 and present along much of the eastern U.S..  2. Hedge false bindweed is a vine with a preference for disturbed areas including cropland, pastures, fields, roadsides.  3. This species is a vigorous climber with annual shoots 3 meters or longer, and it can also reproduce by seed.  4. The underground rhizomes can survive the winter and any remaining root fragments can resprout.  5. This species is also thought to be success due to allelopathy, resulting from the presence of calystegines.  6. Calystegia sepium spp. sepium is a noxious weed in Texas and Arkansas.  7. In addition to being a noxious and environmental weed in natural systems, hedge false bindweed is also a weed in production systems.  ","1. Dave's Garden; https://davesgarden.com/guides/pf/go/2890/  1,6. USDA PLANTS Database; https://plants.sc.egov.usda.gov/core/profile?symbol=CASE13  2. Center for Invasive Species and Ecosystem Health; https://www.invasive.org/browse/subinfo.cfm?sub=5264  3-4. PFAF Plant Database; https://pfaf.org/user/Plant.aspx?LatinName=Calystegia+sepium  4. Burnham 2013, University of Michigan; http://climbers.lsa.umich.edu/?p=209  5. Guntli, 1998; https://www.research-collection.ethz.ch/bitstream/handle/20.500.11850/101237/1/eth-22714-01.pdf  5. Illinois Wildflowers Information; https://www.illinoiswildflowers.info/savanna/plants/hdg_bindweed.htm  7. Global Compendium of Weeds; http://www.hear.org/gcw/species/calystegia_sepium/",3,Low,"1. Calystegia sepium spp. sepium is often found climbing over other herbaceous plants and shrubs, and can eventually smother them.  2. This species also has allelopathic properties, which can further harm native species.  3. This species is highly prone to hybridization, as indicated by the 7 subspecies, but since the other 6 subspecies are native the U.S. there is not currently evidence of a hybrid invasion risk.  4. Hedge false bindweed is an agricultural weed, particularly in maize and sorghum crops, and in vineyards.  5. There are multiple references to this species as a weed in gardens, particularly because it is difficult to remove due to its ability to resprout from deep roots.  6. The most effective method of control is mechanical removal, to ensure roots are remove as well, but this can be incredibly difficult.","1. Center for Invasive Species and Ecosystem Health; https://www.invasive.org/browse/subinfo.cfm?sub=5264  1,3,5-6. PFAF Plant Database; https://pfaf.org/user/Plant.aspx?LatinName=Calystegia+sepium  2. Guntli, 1998; https://www.research-collection.ethz.ch/bitstream/handle/20.500.11850/101237/1/eth-22714-01.pdf  2. Illinois Wildflowers Information; https://www.illinoiswildflowers.info/savanna/plants/hdg_bindweed.htm  3. USDA PLANTS Database; https://plants.sc.egov.usda.gov/core/profile?symbol=CASE13  4. Rapparini, 1999; https://www.cabi.org/isc/abstract/19992300901  4. Julliard & Ancel, 1973; https://www.cabi.org/isc/abstract/19742307546  5. Dave's Garden; https://davesgarden.com/guides/pf/go/2890/  6. Ohio Weedguide; https://www.oardc.ohio-state.edu/weedguide/single_weed.php?id=8",24,Medium,"Calystegia sepium spp. sepium is a weedy vine in natural and production systems. Hedge false bindweed is a noxious weed in two states and has a widespread in the eastern U.S.. It is occasionally planted as an ornamental, but overall it lacks consistent long distance dispersal mechanisms. This species can reproduce by seed and by vigorous vegetative growth. The underground rhizomes can survive winter and resprout in spring. As a vine, hedge false bindweed can smother other plants by growing on top of them and has some allelopathic properties. Calystegia sepium spp. sepium is one of 7 subspecies in the U.S. allowing for multiple opportunities for hybridization.  ","1. USDA PLANTS Database; https://plants.sc.egov.usda.gov/core/profile?symbol=CASE13  2. Dave's Garden; https://davesgarden.com/guides/pf/go/2890/  3. Burnham 2013, University of Michigan; http://climbers.lsa.umich.edu/?p=209  4. PFAF Plant Database; https://pfaf.org/user/Plant.aspx?LatinName=Calystegia+sepium  5. Center for Invasive Species and Ecosystem Health; https://www.invasive.org/browse/subinfo.cfm?sub=5264  6. Guntli, 1998; https://www.research-collection.ethz.ch/bitstream/handle/20.500.11850/101237/1/eth-22714-01.pdf",Petri (for Flory),4/30/20,Gettys,
Thymus pulegioides,,Lemon thyme,Plant,Primary producer,Europe to Northwest China,T,1. Escape from confinement  2. Transport- Stowaway (small proportion)  3. Unaided (small proportion),"1. Native Plant Trust; https://gobotany.nativeplanttrust.org/species/thymus/pulegioides/  2-3. Broeck et al., 2015; https://link.springer.com/article/10.1007/s10592-015-0698-0",2,Low,"1. In the United States, Thymus pulegioides is currently found in northeastern and northwestern most states.  1. This species is a popular ornamental and is known to escape from cultivation.  2. Limited research has been conducted on dispersal of lemon thyme seeds, but in general, seeds are dispersed within one meter of the parent plant.  3. However, some long distance dispersal events are thought to have occurred through dispersal by ants, by wind, by attaching to animal fur, and by sticking to mowing machinery.","1. USDA PLANTS Database; https://plants.usda.gov/core/profile?symbol=THPU5  2. Native Plant Trust; https://gobotany.nativeplanttrust.org/species/thymus/pulegioides/  2. Global Compendium of Weeds; http://www.hear.org/gcw/species/thymus_pulegioides/  3-4. Broeck et al., 2015; https://link.springer.com/article/10.1007/s10592-015-0698-0  4. Fischer et al., 1996; https://www.jstor.org/stable/2404699?seq=1#metadata_info_tab_contents",3,Low,"1. Thymus pulegioides is tolerant to USDA Zones 6-10, but its current range in the US is mostly limited to Zone 6.  2. Lemon thyme is primarily found in anthropogenic or disturbed habitats such as meadows and fields, gravey and sandy areas, and rocky outcrops.  3. This species is 'quite specalized in its habitat requirements, depends on habitat disturbance for its recruitment, and is very susceptible to increased competition for light'.  4. Thymus pulegioides can grow vegetatively by runners or stolons, and roots can persist up to 13 years.  5. Flowers of this species are perfect, self-compatible, and pollinated by generalist insects.  6. This species is also tolerant to drought.  7. Lemon thyme has natualized in New Zealand, Canda, and the US.","1. Dave's Garden; https://davesgarden.com/guides/pf/go/192176/  1. USDA PLANTS Database; https://plants.usda.gov/core/profile?symbol=THPU5  2. Native Plant Trust; https://gobotany.nativeplanttrust.org/species/thymus/pulegioides/  2. NatureGate; http://www.luontoportti.com/suomi/en/kukkakasvit/broad-leaved-thyme  3-5. Broeck et al., 2015; https://link.springer.com/article/10.1007/s10592-015-0698-0  5-6. PFAF Plant Database; https://pfaf.org/user/Plant.aspx?LatinName=Thymus+pulegioides  7. Global Compendium of Weeds; http://www.hear.org/gcw/species/thymus_pulegioides/",2,Medium,"1. Thymus pulegioides occurs in primarily in disturbed areas, though it 'is not particularly eager to spread close to people and human activity' and has 'specialized habitat requirements'.  2. Lemon thyme is a weed of agriculture and thrives in grazing land by displaying high vegetative reproduction.  3. This species hybridizes freel with other members of the genus, and there are 3 other introduced Thymus species in the US.  4. Also there are multiple cultivars of this speceis that the wild type could hybridize with including cultivars with different growth forms, like prostrate stems. ","1-2. NatureGate; http://www.luontoportti.com/suomi/en/kukkakasvit/broad-leaved-thyme  1-2.Broeck et al., 2015; https://link.springer.com/article/10.1007/s10592-015-0698-0  2. Global Compendium of Weeds; http://www.hear.org/gcw/species/thymus_pulegioides/  3. PFAF Plant Database; https://pfaf.org/user/Plant.aspx?LatinName=Thymus+pulegioides  3. USDA PLANTS Database; https://plants.usda.gov/core/profile?symbol=THPU5  4. Valleybrook International Ventures; http://www.perennials.com/plants/thymus-pulegioides-bertram-anderson.html  4. Hishtil Ltd.; https://www.hishtil.com/our-products/herbs/vegetative-herbs/thymus-pulegioides-tabor/",12,Low,"Thymus pulegioides is a weed known to escape cultivation and to be a pest to grazing lands. However, the species has limited long distance dispersal ability and is thus unlikely to arrive in Florida unless it becomes more popular here for horticulture. Under grazing conditions, lemon thyme can have high vegetative productivity. But in natural areas, no evidence was found of impacts to native species or systems. Future concern surrounds the ability of this genus to hydride. Thymus hybrids have been documented in other countries, and Thymus pulegioides could cross with multiple other species and cultivars in the US. Though we did not find evidence of hybrids in the US currently. For this reason, we gave low overall certainty, as future introductions in the southern US and potential hybrids could greatly alter the risk score of this species. ","1. Native Plant Trust; https://gobotany.nativeplanttrust.org/species/thymus/pulegioides/  2. Global Compendium of Weeds; http://www.hear.org/gcw/species/thymus_pulegioides/  3. Broeck et al., 2015; https://link.springer.com/article/10.1007/s10592-015-0698-0  4. PFAF Plant Database; https://pfaf.org/user/Plant.aspx?LatinName=Thymus+pulegioides",Petri (for Gordon),4/9/20,Gettys,
Rhamnus cathartica,Cervispina cathartica,European buckthorn,Plant,Primary producer,Eurasia and N Africa,T,Escape from confinement,CABI,5,High,"Popular ornamental, endozoochory","CABI

Knight, K. S., Kurylo, J. S., Endress, A. G., Stewart, J. R., & Reich, P. B. (2007). Ecology and ecosystem impacts of common buckthorn (Rhamnus cathartica): a review. Biological Invasions, 9(8), 925-937.

Wyman D, 1971. Shrubs and Vines for American Gardens. New York, USA: MacMillan Co.",1,Medium,Elevation preference about 900 m. Soils in the southern US are too acidic.,"Gourley, L. (1985). Study of the ecology and spread of buckthorn (Rhamnus cathartica L.) with particular reference to the University of Wisconsin Arboretum (Doctoral dissertation).

Kurylo, J. S., Knight, K. S., Stewart, J. R., & Endress, A. G. (2007). Rhamnus cathartica: Native and naturalized distribution and habitat preferences1. The Journal of the torrey Botanical society, 134(3), 420-430.

Lenoir, J., J.C. Gegout, P.A. Marquet, P. de Ruffray and H.A. Brisse. 2008. Significant upward shift in plant species optimum elevation during the 20th Century. Science 320(5884): 1768-1771.",3,High,"Alters habitats (soil chemistry), dominates woodland habitats","Archibold, O. W., Brooks, D., & Delanoy, L. (1997). An investigation of the invasive shrub European buckthorn, Rhamnus cathartica L., near Saskatoon, Saskatchewan. Canadian Field-Naturalist, 111(4), 617-621.

Heneghan, L., Fatemi, F., Umek, L., Grady, K., Fagen, K., & Workman, M. (2006). The invasive shrub European buckthorn (Rhamnus cathartica, L.) alters soil properties in Midwestern US woodlands. Applied Soil Ecology, 32(1), 142-148.

Knight, K. S., Kurylo, J. S., Endress, A. G., Stewart, J. R., & Reich, P. B. (2007). Ecology and ecosystem impacts of common buckthorn (Rhamnus cathartica): a review. Biological Invasions, 9(8), 925-937.",15,High,"Relatively long history (since 1700) in North America, but still not established in acidic soils and more tropical climate of southern US.","CABI, BONAP",Pfingsten,4/8/20,Gettys,
Acer pseudoplatanus,,sycamore maple,Plant,Primary producer,Central Europe and Western Asia,T,escape from confinement,,1,High,not appropriate for Florida's growing zones,Missouri Botanical Garden https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=275368&isprofile=0&,2,High,"Although tolerant of many soils and salty conditions, nurseries have better alternatives for more ornamental trees and trees with better fall color. ",https://plants.ces.ncsu.edu/plants/acer-pseudoplatanus/,2,High,"If it were to be planted and if it were to thrive, it might displace native trees, but no other likely impacts, and it is unlikely to thrive in the heat. ",https://www.cabi.org/isc/datasheet/2884,4,Very Low,"The tree can be invasive in other areas, but Florida's climate is not hospitable to this species. It is not so desirable that breeders are likely to make the effort to produce a heat tolerant variety.",,Anderson,3/31/20,Gordon,
Arrhenatherum elatius,, tall oat-grass,Plant,Primary producer, Europe; western Asia;northern Africa,T,escape from containment,Used as a forage and fodder for livestock. Introduced also as an ornamental grass. ,4,Low ,Dave's Garden users looking or willing to trade plants. Already present in many states across the US. ,CABI Crop Compendium online data sheet. Arrhenatherum elatius. CABI Publishing 2020. www.cabi.org/CPC. Accessed April 2020; https://davesgarden.com/guides/pf/go/62312/,3,Low ,"It has already colonised all temperate geopgraphical areas that have a suitable climate. Given its widespread introductions, there has most likley been failed introductions to the Florida. It establises along roadsides, dry grasslands, and edges of woodlands. ","Watson L, Dallwitz MJ, 2015. Arrhenatherum P. Beauv. The grass genera of the world: descriptions, illustrations, identification, and information retrieval; including synonyms, morphology, anatomy, physiology, phytochemistry, cytology, classification, pathogens, world and local distribution, and references; CABI Crop Compendium online data sheet. Arrhenatherum elatius. CABI Publishing 2020. www.cabi.org/CPC. Accessed April 2020",4,Low,"It is one the most valuable fodder grasses, but is considered a weed in vegetable gardens. The major envionmental impacts are from competition and changes to native prarie grasslands in North America. Forms clones that colonise large areas, displacing native plant species. Invasions in Austrlian grasslands have directly impacted an endagerened butterfly and bird species. How this applies to Florida's landscape is not clear. ","Weber E, 2003. Invasive Plant Species of the World. A Reference Guide to Environmental Weeds. Wallingford, UK: CABI Publishing; Severns PM, 2008. Exotic grass invasion impacts fitness of an endangered prairie butterfly, Icaricia icarioides fenderi. Journal of Insect Conservation, 12(6):651-661. http://www.springerlink.com/link.asp?id=100177",48,Low,Unclear why it has not reached Florida yet given its history and widespread distribution,,Canavan,,Gordon,
Ehrharta stipoides,Microlaena stipoides,"Weeping grass, meadow ricegrass",Plant,Primary producer,"Australia, New Zealand, Malesia",T,Transport contaminant (wool),https://www.cabi.org/isc/datasheet/114040#REF-DDB--26,1,High,Do we ship stuff in wool anymore??? No ornamental characters; used as forage and turf in some parts of the world but unlikely to be used for that purpose in FL,https://www.cabi.org/isc/datasheet/114040#REF-DDB--26,2,Medium,"not present in continental US (HI only); cool season, slow speading grass - unlikely to be competitive with grasses already in FL","USDA, CABI",1,High,"Little evidence of causing problems in other parts of the world; from CABI: ""Outside its natural range, there is a lack of clear evidence as to its impacts on native species and even a lack of speculation about its potential impacts""",CABI,2,Low,"This grass is unlikely to come to FL accidentally as a contaminant in wool or intentionally as an ornamental; if it were introduced, it is unlikely to be a good competitor for many extant grasses in FL",,Gettys,4/21/20,Gordon,
