family,n,draw
Scrophulariaceae,1,6
Solanaceae,1,6
Thymelaeaceae,1,6
Urticaceae,1,6
Acanthaceae,2,7
Aizoaceae,1,7
Apiaceae,1,7
Araceae,1,7
Begoniaceae,1,7
Brassicaceae,3,7
Bromeliaceae,1,7
Bruniaceae,1,7
Calymperaceae,1,7
Caryophyllaceae,2,7
Cleomaceae,1,7
Clusiaceae,2,7
Compositae,14,7
Cornaceae,1,7
Dicranaceae,1,7
Dryopteridaceae,1,7
Ericaceae,2,7
Euphorbiaceae,2,7
Fagaceae,1,7
Gentianaceae,1,7
Hypnodendraceae,1,7
Iridaceae,2,7
Juncaceae,1,7
Lamiaceae,1,7
Lauraceae,2,7
Leguminosae,4,7
Lejeuneaceae,1,7
Loranthaceae,1,7
Lythraceae,1,7
Malpighiaceae,1,7
Melastomataceae,1,7
Myrtaceae,2,7
Orchidaceae,7,7
Pentaphylacaceae,1,7
Poaceae,3,7
Polemoniaceae,2,7
Polypodiaceae,1,7
Polytrichaceae,1,7
Pottiaceae,1,7
Primulaceae,3,7
Ranunculaceae,1,7
Rosaceae,4,7
Rubiaceae,6,7
Rutaceae,1,7
Salicaceae,1,7
Scrophulariaceae,1,7
Sematophyllaceae,2,7
Smilacaceae,1,7
Solanaceae,2,7
Violaceae,1,7
Zamiaceae,1,7
Aizoaceae,2,8
Amaryllidaceae,1,8
Anemiaceae,1,8
Apiaceae,1,8
Apocynaceae,5,8
Araliaceae,1,8
Arecaceae,1,8
Aristolochiaceae,1,8
Asparagaceae,2,8
Aspleniaceae,1,8
Begoniaceae,1,8
Boraginaceae,1,8
Brachytheciaceae,1,8
Bromeliaceae,1,8
Bryaceae,2,8
Cactaceae,1,8
Caryophyllaceae,2,8
Casuarinaceae,1,8
Colchicaceae,1,8
Compositae,7,8
Convolvulaceae,1,8
Cornaceae,1,8
Cyclanthaceae,1,8
Cyperaceae,1,8
Dicranaceae,2,8
Dryopteridaceae,1,8
Euphorbiaceae,1,8
Gentianaceae,1,8
Gesneriaceae,1,8
Hernandiaceae,1,8
Iridaceae,1,8
Lamiaceae,3,8
Lecythidaceae,1,8
Leguminosae,7,8
Lejeuneaceae,1,8
Liliaceae,2,8
Malvaceae,1,8
Orchidaceae,4,8
Orobanchaceae,2,8
Orthotrichaceae,1,8
Pandanaceae,1,8
Phrymaceae,1,8
Phyllanthaceae,1,8
Plagiochilaceae,1,8
Poaceae,5,8
Polygalaceae,1,8
Polygonaceae,1,8
Potamogetonaceae,1,8
Pottiaceae,3,8
Restionaceae,1,8
Rosaceae,4,8
Rubiaceae,6,8
Santalaceae,1,8
Sphagnaceae,1,8
Thelypteridaceae,1,8
Thymelaeaceae,1,8
Aizoaceae,2,9
Apiaceae,1,9
Apocynaceae,5,9
Aquifoliaceae,1,9
Araceae,5,9
Arecaceae,1,9
Aristolochiaceae,1,9
Asparagaceae,1,9
Berberidaceae,1,9
Bignoniaceae,2,9
Boraginaceae,1,9
Brassicaceae,3,9
Bromeliaceae,1,9
Bryaceae,1,9
Campanulaceae,2,9
Caryophyllaceae,1,9
Cleveaceae,1,9
Compositae,2,9
Cyperaceae,2,9
Dichapetalaceae,1,9
Dicranaceae,1,9
Dilleniaceae,1,9
Ditrichaceae,1,9
Dryopteridaceae,2,9
Escalloniaceae,1,9
Funariaceae,1,9
Geocalycaceae,1,9
Geraniaceae,1,9
Lamiaceae,1,9
Lauraceae,1,9
Leguminosae,4,9
Lejeuneaceae,1,9
Malvaceae,1,9
Melastomataceae,3,9
Myrtaceae,2,9
Ochnaceae,1,9
Orchidaceae,9,9
Orobanchaceae,1,9
Petrosaviaceae,1,9
Poaceae,3,9
Podocarpaceae,1,9
Polygonaceae,1,9
Polypodiaceae,2,9
Polytrichaceae,1,9
Portulacaceae,1,9
Primulaceae,1,9
Pterobryaceae,1,9
Ranunculaceae,2,9
Rubiaceae,1,9
Santalaceae,1,9
Sapindaceae,1,9
Saxifragaceae,2,9
Scrophulariaceae,1,9
Selaginellaceae,1,9
Sematophyllaceae,2,9
Solanaceae,2,9
Tamaricaceae,1,9
Urticaceae,1,9
Verbenaceae,1,9
Vochysiaceae,1,9
Xanthorrhoeaceae,1,9
Amaryllidaceae,1,10
Amblystegiaceae,1,10
Annonaceae,2,10
Apiaceae,1,10
Apocynaceae,2,10
Arecaceae,1,10
Asparagaceae,1,10
Begoniaceae,1,10
Boraginaceae,3,10
Brassicaceae,1,10
Burseraceae,1,10
Colchicaceae,1,10
Compositae,9,10
Crassulaceae,1,10
Dryopteridaceae,1,10
Ericaceae,4,10
Eriocaulaceae,1,10
Euphorbiaceae,4,10
Fagaceae,1,10
Gesneriaceae,1,10
Grimmiaceae,1,10
Heliconiaceae,2,10
Hymenophyllaceae,1,10
Hypnaceae,2,10
Juglandaceae,1,10
Lamiaceae,4,10
Leguminosae,9,10
Liliaceae,1,10
Loasaceae,1,10
Lycopodiaceae,1,10
Malvaceae,2,10
Melastomataceae,2,10
Myrtaceae,1,10
Orchidaceae,6,10
Pandanaceae,2,10
Pentaphylacaceae,2,10
Phyllanthaceae,2,10
Plagiochilaceae,1,10
Plantaginaceae,1,10
Polemoniaceae,1,10
Pottiaceae,2,10
Ranunculaceae,1,10
Rosaceae,2,10
Rubiaceae,5,10
Rutaceae,1,10
Sematophyllaceae,1,10
Splachnaceae,1,10
Verbenaceae,1,10
Xanthorrhoeaceae,1,10
Xyridaceae,1,10
Zamiaceae,1,10
Acanthaceae,2,11
Aizoaceae,1,11
Amaranthaceae,2,11
Anisophylleaceae,1,11
Araceae,3,11
Araliaceae,1,11
Bignoniaceae,1,11
Boraginaceae,2,11
Brassicaceae,3,11
Bromeliaceae,2,11
Bruniaceae,1,11
Bryaceae,3,11
Cactaceae,1,11
Caprifoliaceae,1,11
Caryocaraceae,1,11
Compositae,9,11
Cyperaceae,3,11
Echinodiaceae,1,11
Ericaceae,1,11
Euphorbiaceae,1,11
Fagaceae,1,11
Heliconiaceae,1,11
Hymenophyllaceae,1,11
Hypericaceae,2,11
Hypnaceae,1,11
Juglandaceae,1,11
Lamiaceae,2,11
Lauraceae,1,11
Leguminosae,12,11
Malvaceae,1,11
Metzgeriaceae,1,11
Montiaceae,1,11
Orchidaceae,6,11
Orobanchaceae,1,11
Orthotrichaceae,1,11
Papaveraceae,2,11
Phyllanthaceae,1,11
Plantaginaceae,1,11
Plumbaginaceae,1,11
Poaceae,2,11
Podostemaceae,1,11
Polemoniaceae,1,11
Porellaceae,1,11
Primulaceae,2,11
Ranunculaceae,1,11
Rubiaceae,5,11
Rutaceae,1,11
Saxifragaceae,1,11
Selaginellaceae,1,11
Simaroubaceae,1,11
Sphagnaceae,1,11
Thelypteridaceae,1,11
Vitaceae,1,11
Acanthaceae,2,12
Aizoaceae,1,12
Andreaeaceae,1,12
Annonaceae,2,12
Apocynaceae,1,12
Araceae,1,12
Arecaceae,3,12
Begoniaceae,1,12
Boraginaceae,2,12
Brassicaceae,1,12
Bromeliaceae,1,12
Burseraceae,1,12
Cactaceae,1,12
Campanulaceae,2,12
Celastraceae,1,12
Clusiaceae,1,12
Colchicaceae,2,12
Compositae,12,12
Cucurbitaceae,1,12
Cyperaceae,2,12
Ericaceae,1,12
Eriocaulaceae,1,12
Hymenophyllaceae,1,12
Iridaceae,2,12
Lamiaceae,2,12
Lauraceae,1,12
Leguminosae,8,12
Linaceae,1,12
Malvaceae,3,12
Melastomataceae,1,12
Meliaceae,1,12
Myrtaceae,2,12
Neckeraceae,1,12
Oleaceae,1,12
Orchidaceae,6,12
Orthotrichaceae,1,12
Phyllanthaceae,1,12
Phytolaccaceae,1,12
Piperaceae,1,12
Poaceae,6,12
Podostemaceae,1,12
Polygalaceae,1,12
Polygonaceae,1,12
Polytrichaceae,1,12
Pottiaceae,1,12
Primulaceae,1,12
Ranunculaceae,1,12
Rosaceae,1,12
Rubiaceae,3,12
Sapindaceae,2,12
Selaginellaceae,1,12
Solanaceae,1,12
Violaceae,1,12
Zingiberaceae,1,12
Acanthaceae,2,13
Aizoaceae,1,13
Alstroemeriaceae,1,13
Amaranthaceae,1,13
Annonaceae,1,13
Apiaceae,4,13
Apocynaceae,2,13
Araceae,1,13
Arecaceae,1,13
Balsaminaceae,1,13
Blechnaceae,1,13
Brachytheciaceae,1,13
Brassicaceae,1,13
Cactaceae,3,13
Caryophyllaceae,1,13
Celastraceae,1,13
Colchicaceae,1,13
Compositae,16,13
Cyperaceae,1,13
Dicranaceae,1,13
Ericaceae,2,13
Euphorbiaceae,1,13
Fissidentaceae,1,13
Gentianaceae,1,13
Geraniaceae,1,13
Humiriaceae,1,13
Hymenophyllaceae,1,13
Hypnaceae,1,13
Juglandaceae,1,13
Lamiaceae,3,13
Lauraceae,2,13
Leguminosae,6,13
Lejeuneaceae,1,13
Liliaceae,1,13
Linderniaceae,1,13
Malvaceae,2,13
Melastomataceae,2,13
Menispermaceae,1,13
Myrtaceae,1,13
Orchidaceae,3,13
Orobanchaceae,1,13
Papaveraceae,1,13
Phyllanthaceae,1,13
Plagiochilaceae,1,13
Poaceae,3,13
Polygonaceae,1,13
Pottiaceae,1,13
Ranunculaceae,1,13
Rosaceae,4,13
Rubiaceae,3,13
Rutaceae,1,13
Santalaceae,1,13
Thuidiaceae,1,13
Urticaceae,1,13
Violaceae,1,13
Xanthorrhoeaceae,1,13
Acanthaceae,1,14
Aizoaceae,1,14
Amaryllidaceae,1,14
Apocynaceae,2,14
Araceae,1,14
Asparagaceae,2,14
Begoniaceae,1,14
Boraginaceae,1,14
Brachytheciaceae,1,14
Brassicaceae,1,14
Burseraceae,1,14
Cactaceae,2,14
Campanulaceae,1,14
Compositae,11,14
Cyperaceae,1,14
Elaeagnaceae,1,14
Euphorbiaceae,3,14
Grossulariaceae,1,14
Hookeriaceae,2,14
Hydatellaceae,1,14
Iridaceae,4,14
Lamiaceae,1,14
Lauraceae,2,14
Leguminosae,6,14
Lejeuneaceae,2,14
Leucodontaceae,1,14
Linderniaceae,1,14
Loasaceae,1,14
Loganiaceae,1,14
Malvaceae,1,14
Melastomataceae,2,14
Menispermaceae,1,14
Moraceae,2,14
Myrtaceae,1,14
Orchidaceae,6,14
Orthotrichaceae,1,14
Pittosporaceae,1,14
Plantaginaceae,1,14
Poaceae,6,14
Primulaceae,1,14
Proteaceae,1,14
Rhamnaceae,1,14
Rosaceae,1,14
Rubiaceae,3,14
Ruppiaceae,1,14
Rutaceae,1,14
Sapindaceae,3,14
Saxifragaceae,1,14
Scrophulariaceae,1,14
Sematophyllaceae,2,14
Stilbaceae,1,14
Thymelaeaceae,2,14
Verbenaceae,2,14
Aizoaceae,2,15
Amaryllidaceae,2,15
Amblystegiaceae,1,15
Annonaceae,1,15
Apiaceae,2,15
Aquifoliaceae,1,15
Araceae,1,15
Araliaceae,1,15
Asparagaceae,2,15
Bonnetiaceae,1,15
Brachytheciaceae,1,15
Brassicaceae,1,15
Bromeliaceae,1,15
Bryaceae,1,15
Campanulaceae,2,15
Chrysobalanaceae,1,15
Commelinaceae,1,15
Compositae,12,15
Crassulaceae,1,15
Cyperaceae,1,15
Euphorbiaceae,2,15
Fabroniaceae,1,15
Gentianaceae,1,15
Hydrocharitaceae,1,15
Hypnaceae,1,15
Jungermanniaceae,1,15
Lamiaceae,1,15
Lauraceae,1,15
Lecythidaceae,1,15
Leguminosae,3,15
Lejeuneaceae,1,15
Lepidoziaceae,1,15
Lophocoleaceae,1,15
Malvaceae,2,15
Melastomataceae,2,15
Myrtaceae,2,15
Ochnaceae,1,15
Olacaceae,1,15
Orchidaceae,6,15
Orobanchaceae,1,15
Phyllanthaceae,1,15
Pinaceae,1,15
Plantaginaceae,1,15
Plumbaginaceae,2,15
Poaceae,2,15
Polygonaceae,1,15
Polypodiaceae,1,15
Pottiaceae,1,15
Primulaceae,1,15
Pteridaceae,1,15
Ranunculaceae,2,15
Rosaceae,3,15
Rubiaceae,7,15
Sabiaceae,1,15
Smilacaceae,2,15
Solanaceae,1,15
Thelypteridaceae,1,15
Urticaceae,1,15
Vitaceae,1,15
Acanthaceae,1,16
Adoxaceae,1,16
Aizoaceae,2,16
Alstroemeriaceae,1,16
Apiaceae,2,16
Apocynaceae,2,16
Aquifoliaceae,1,16
Arecaceae,1,16
Asparagaceae,4,16
Aspleniaceae,1,16
Boraginaceae,1,16
Brassicaceae,2,16
Bromeliaceae,1,16
Campanulaceae,2,16
Clusiaceae,1,16
Compositae,10,16
Cucurbitaceae,1,16
Dicranaceae,4,16
Dryopteridaceae,2,16
Ebenaceae,1,16
Entodontaceae,1,16
Ericaceae,1,16
Eriocaulaceae,1,16
Euphorbiaceae,2,16
Fagaceae,1,16
Gesneriaceae,2,16
Hamamelidaceae,1,16
Hydrangeaceae,1,16
Iridaceae,1,16
Lamiaceae,5,16
Lauraceae,1,16
Lecythidaceae,1,16
Leguminosae,4,16
Lejeuneaceae,1,16
Lepidoziaceae,1,16
Loganiaceae,1,16
Malvaceae,1,16
Melastomataceae,3,16
Meliaceae,1,16
Musaceae,1,16
Orchidaceae,5,16
Oxalidaceae,1,16
Piperaceae,2,16
Poaceae,4,16
Pottiaceae,1,16
Primulaceae,2,16
Proteaceae,1,16
Ranunculaceae,1,16
Rosaceae,2,16
Rubiaceae,2,16
Salicaceae,1,16
Santalaceae,1,16
Tectariaceae,1,16
Vitaceae,1,16
Xanthorrhoeaceae,1,16
Acanthaceae,3,17
Alstroemeriaceae,1,17
Amaranthaceae,1,17
Amaryllidaceae,1,17
Anemiaceae,1,17
Asparagaceae,1,17
Betulaceae,1,17
Blechnaceae,1,17
Boraginaceae,1,17
Brassicaceae,1,17
Cactaceae,1,17
Campanulaceae,2,17
Caprifoliaceae,2,17
Caryophyllaceae,1,17
Compositae,9,17
Convolvulaceae,1,17
Cyperaceae,1,17
Dicranaceae,1,17
Ericaceae,1,17
Euphorbiaceae,2,17
Fagaceae,1,17
Gesneriaceae,1,17
Hypnaceae,1,17
Jubulaceae,1,17
Lamiaceae,5,17
Lauraceae,1,17
Leguminosae,9,17
Leskeaceae,1,17
Melanthiaceae,1,17
Melastomataceae,2,17
Meliaceae,2,17
Meteoriaceae,1,17
Myrtaceae,2,17
Orchidaceae,9,17
Poaceae,4,17
Polygonaceae,1,17
Potamogetonaceae,1,17
Pottiaceae,1,17
Ranunculaceae,1,17
Rhizophoraceae,1,17
Rosaceae,1,17
Rubiaceae,7,17
Rutaceae,1,17
Santalaceae,2,17
Sapotaceae,1,17
Solanaceae,1,17
Stylidiaceae,1,17
Verbenaceae,2,17
Vitaceae,1,17
Xanthorrhoeaceae,1,17
Xyridaceae,1,17
Amaryllidaceae,2,18
Anacardiaceae,1,18
Apiaceae,2,18
Apocynaceae,2,18
Aquifoliaceae,1,18
Arecaceae,1,18
Asparagaceae,1,18
Brachytheciaceae,1,18
Bromeliaceae,2,18
Cactaceae,1,18
Campanulaceae,1,18
Chloranthaceae,1,18
Compositae,8,18
Convolvulaceae,1,18
Crassulaceae,1,18
Cucurbitaceae,1,18
Cyperaceae,3,18
Elatinaceae,1,18
Ericaceae,2,18
Euphorbiaceae,2,18
Gesneriaceae,1,18
Goodeniaceae,2,18
Grimmiaceae,1,18
Hylocomiaceae,1,18
Hypopterygiaceae,1,18
Lamiaceae,3,18
Lauraceae,2,18
Lecythidaceae,1,18
Leguminosae,8,18
Lejeuneaceae,1,18
Linderniaceae,1,18
Loganiaceae,1,18
Loranthaceae,1,18
Malvaceae,1,18
Meteoriaceae,1,18
Moraceae,2,18
Myristicaceae,1,18
Orchidaceae,4,18
Orobanchaceae,2,18
Orthotrichaceae,1,18
Pentaphylacaceae,1,18
Phyllanthaceae,1,18
Piperaceae,1,18
Poaceae,2,18
Polygalaceae,1,18
Polypodiaceae,2,18
Porellaceae,1,18
Portulacaceae,1,18
Pottiaceae,1,18
Pterigynandraceae,1,18
Ranunculaceae,1,18
Resedaceae,1,18
Rosaceae,2,18
Rubiaceae,3,18
Salicaceae,1,18
Sapindaceae,1,18
Scrophulariaceae,1,18
Sematophyllaceae,1,18
Tectariaceae,1,18
Thymelaeaceae,1,18
Velloziaceae,1,18
Verbenaceae,1,18
Aizoaceae,1,19
Amaranthaceae,1,19
Anacardiaceae,1,19
Annonaceae,1,19
Apocynaceae,2,19
Araliaceae,1,19
Arecaceae,2,19
Asparagaceae,2,19
Athyriaceae,1,19
Brassicaceae,2,19
Bromeliaceae,1,19
Celastraceae,1,19
Combretaceae,1,19
Compositae,11,19
Convolvulaceae,1,19
Crassulaceae,1,19
Cyatheaceae,1,19
Cyperaceae,2,19
Elaeocarpaceae,1,19
Ericaceae,1,19
Euphorbiaceae,1,19
Gentianaceae,1,19
Gesneriaceae,2,19
Goodeniaceae,1,19
Hymenophyllaceae,1,19
Hypnaceae,1,19
Iridaceae,3,19
Lamiaceae,2,19
Lauraceae,1,19
Leguminosae,4,19
Melastomataceae,1,19
Meliaceae,1,19
Moraceae,1,19
Myristicaceae,1,19
Ochnaceae,1,19
Orchidaceae,11,19
Orobanchaceae,3,19
Orthotrichaceae,1,19
Oxalidaceae,1,19
Pandanaceae,1,19
Papaveraceae,1,19
Piperaceae,1,19
Poaceae,2,19
Porellaceae,1,19
Proteaceae,1,19
Rosaceae,2,19
Rubiaceae,6,19
Sapindaceae,1,19
Scrophulariaceae,2,19
Selaginellaceae,1,19
Theaceae,1,19
Verbenaceae,2,19
Vitaceae,1,19
Zingiberaceae,2,19
Acanthaceae,2,20
Adoxaceae,1,20
Aizoaceae,1,20
Amaranthaceae,1,20
Amblystegiaceae,1,20
Apiaceae,1,20
Araceae,2,20
Araliaceae,1,20
Arecaceae,1,20
Asparagaceae,1,20
Betulaceae,2,20
Boraginaceae,1,20
Brachytheciaceae,1,20
Bromeliaceae,2,20
Burseraceae,1,20
Cactaceae,3,20
Caryophyllaceae,1,20
Compositae,7,20
Convolvulaceae,1,20
Cucurbitaceae,1,20
Cyperaceae,1,20
Dicranaceae,1,20
Ebenaceae,1,20
Elaeocarpaceae,1,20
Ericaceae,1,20
Fissidentaceae,1,20
Fossombroniaceae,2,20
Grimmiaceae,1,20
Gymnomitriaceae,1,20
Haemodoraceae,1,20
Hypnaceae,2,20
Iridaceae,1,20
Lamiaceae,3,20
Leguminosae,4,20
Limnanthaceae,1,20
Malvaceae,1,20
Marantaceae,1,20
Melastomataceae,2,20
Myrtaceae,2,20
Ochnaceae,1,20
Orchidaceae,9,20
Orobanchaceae,1,20
Orthotrichaceae,2,20
Pandanaceae,4,20
Piperaceae,2,20
Plantaginaceae,1,20
Poaceae,2,20
Polypodiaceae,1,20
Pottiaceae,1,20
Primulaceae,1,20
Pteridaceae,1,20
Putranjivaceae,1,20
Ranunculaceae,1,20
Rubiaceae,3,20
Rutaceae,1,20
Salicaceae,2,20
Sapotaceae,1,20
Schisandraceae,1,20
Solanaceae,1,20
Vitaceae,1,20
Acanthaceae,2,21
Aizoaceae,1,21
Apiaceae,1,21
Apocynaceae,1,21
Araceae,1,21
Arecaceae,1,21
Berberidaceae,1,21
Boraginaceae,1,21
Brassicaceae,6,21
Bromeliaceae,3,21
Chrysobalanaceae,1,21
Compositae,13,21
Corsiaceae,1,21
Crassulaceae,1,21
Cyperaceae,1,21
Dicranaceae,2,21
Ericaceae,1,21
Eriocaulaceae,4,21
Euphorbiaceae,3,21
Goupiaceae,1,21
Grimmiaceae,1,21
Lamiaceae,3,21
Lauraceae,2,21
Leguminosae,7,21
Liliaceae,1,21
Loganiaceae,1,21
Lophocoleaceae,1,21
Melastomataceae,1,21
Meliaceae,1,21
Metzgeriaceae,1,21
Myrtaceae,2,21
Nyctaginaceae,1,21
Orchidaceae,7,21
Orobanchaceae,1,21
Pilotrichaceae,1,21
Piperaceae,2,21
Poaceae,4,21
Polygalaceae,1,21
Pottiaceae,2,21
Pteridaceae,1,21
Racopilaceae,1,21
Rafflesiaceae,1,21
Rosaceae,3,21
Rubiaceae,2,21
Rutaceae,1,21
Thuidiaceae,1,21
Verbenaceae,1,21
